book_title,book_url,img_url,book_rating,book_price
A Light in the Attic,a-light-in-the-attic_1000/index.html,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,Three,£51.77
Tipping the Velvet,tipping-the-velvet_999/index.html,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,One,£53.74
Soumission,soumission_998/index.html,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,One,£50.10
Sharp Objects,sharp-objects_997/index.html,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,Four,£47.82
Sapiens: A Brief History of Humankind,sapiens-a-brief-history-of-humankind_996/index.html,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,Five,£54.23
The Requiem Red,the-requiem-red_995/index.html,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,One,£22.65
The Dirty Little Secrets of Getting Your Dream Job,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,Four,£33.34
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,Three,£17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,Four,£22.60
The Black Maria,the-black-maria_991/index.html,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,One,£52.15
"Starving Hearts (Triangular Trade Trilogy, #1)",starving-hearts-triangular-trade-trilogy-1_990/index.html,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,Two,£13.99
Shakespeare's Sonnets,shakespeares-sonnets_989/index.html,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,Four,£20.66
Set Me Free,set-me-free_988/index.html,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,Five,£17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,Five,£52.29
Rip it Up and Start Again,rip-it-up-and-start-again_986/index.html,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,Five,£35.02
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,Three,£57.25
Olio,olio_984/index.html,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,One,£23.88
Mesaerion: The Best Science Fiction Stories 1800-1849,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,One,£37.59
Libertarianism for Beginners,libertarianism-for-beginners_982/index.html,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,Two,£51.33
It's Only the Himalayas,its-only-the-himalayas_981/index.html,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,Two,£45.17
In Her Wake,in-her-wake_980/index.html,../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,One,£12.84
How Music Works,how-music-works_979/index.html,../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,Two,£37.32
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,Three,£30.52
Chase Me (Paris Nights #2),chase-me-paris-nights-2_977/index.html,../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,Five,£25.27
Black Dust,black-dust_976/index.html,../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,Five,£34.53
Birdsong: A Story in Pictures,birdsong-a-story-in-pictures_975/index.html,../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,Three,£54.64
